"Zipcode","ZoneName","Small","Medium","Large","ShippingClass"
"210","5","37","65","83",""
"211","5","37","65","83",""
"212","5","37","65","83",""
"213","5","37","65","83",""
"214","5","37","65","83",""
"215","5","37","65","83",""
"401","5","37","65","83",""
"501","6","41","70","86",""
"544","6","41","70","86",""
"1001","5","37","65","83",""
"1002","5","37","65","83",""
"1003","5","37","65","83",""
"1004","5","37","65","83",""
"1005","5","37","65","83",""
"1007","5","37","65","83",""
"1008","5","37","65","83",""
"1009","5","37","65","83",""
"1010","5","37","65","83",""
"1011","5","37","65","83",""
"1012","5","37","65","83",""
"1013","5","37","65","83",""
"1014","5","37","65","83",""
"1020","5","37","65","83",""
"1021","5","37","65","83",""
"1022","5","37","65","83",""
"1026","5","37","65","83",""
"1027","5","37","65","83",""
"1028","5","37","65","83",""
"1029","5","37","65","83",""
"1030","5","37","65","83",""
"1031","5","37","65","83",""
"1032","5","37","65","83",""
"1033","5","37","65","83",""
"1034","5","37","65","83",""
"1035","5","37","65","83",""
"1036","5","37","65","83",""
"1037","5","37","65","83",""
"1038","5","37","65","83",""
"1039","5","37","65","83",""
"1040","5","37","65","83",""
"1041","5","37","65","83",""
"1050","5","37","65","83",""
"1053","5","37","65","83",""
"1054","5","37","65","83",""
"1056","5","37","65","83",""
"1057","5","37","65","83",""
"1059","5","37","65","83",""
"1060","5","37","65","83",""
"1061","5","37","65","83",""
"1062","5","37","65","83",""
"1063","5","37","65","83",""
"1066","5","37","65","83",""
"1068","5","37","65","83",""
"1069","5","37","65","83",""
"1070","5","37","65","83",""
"1071","5","37","65","83",""
"1072","5","37","65","83",""
"1073","5","37","65","83",""
"1074","5","37","65","83",""
"1075","5","37","65","83",""
"1077","5","37","65","83",""
"1079","5","37","65","83",""
"1080","5","37","65","83",""
"1081","5","37","65","83",""
"1082","5","37","65","83",""
"1083","5","37","65","83",""
"1084","5","37","65","83",""
"1085","5","37","65","83",""
"1086","5","37","65","83",""
"1088","5","37","65","83",""
"1089","5","37","65","83",""
"1090","5","37","65","83",""
"1092","5","37","65","83",""
"1093","5","37","65","83",""
"1094","5","37","65","83",""
"1095","5","37","65","83",""
"1096","5","37","65","83",""
"1097","5","37","65","83",""
"1098","5","37","65","83",""
"1101","5","37","65","83",""
"1102","5","37","65","83",""
"1103","5","37","65","83",""
"1104","5","37","65","83",""
"1105","5","37","65","83",""
"1106","5","37","65","83",""
"1107","5","37","65","83",""
"1108","5","37","65","83",""
"1109","5","37","65","83",""
"1111","5","37","65","83",""
"1114","5","37","65","83",""
"1115","5","37","65","83",""
"1116","5","37","65","83",""
"1118","5","37","65","83",""
"1119","5","37","65","83",""
"1128","5","37","65","83",""
"1129","5","37","65","83",""
"1133","5","37","65","83",""
"1138","5","37","65","83",""
"1139","5","37","65","83",""
"1144","5","37","65","83",""
"1151","5","37","65","83",""
"1152","5","37","65","83",""
"1195","5","37","65","83",""
"1199","5","37","65","83",""
"1201","6","41","70","86",""
"1202","6","41","70","86",""
"1203","6","41","70","86",""
"1220","6","41","70","86",""
"1222","6","41","70","86",""
"1223","6","41","70","86",""
"1224","6","41","70","86",""
"1225","6","41","70","86",""
"1226","6","41","70","86",""
"1227","6","41","70","86",""
"1229","6","41","70","86",""
"1230","6","41","70","86",""
"1235","6","41","70","86",""
"1236","6","41","70","86",""
"1237","6","41","70","86",""
"1238","6","41","70","86",""
"1240","5","37","65","83",""
"1242","5","37","65","83",""
"1243","5","37","65","83",""
"1244","5","37","65","83",""
"1245","5","37","65","83",""
"1247","5","37","65","83",""
"1252","5","37","65","83",""
"1253","5","37","65","83",""
"1254","5","37","65","83",""
"1255","5","37","65","83",""
"1256","5","37","65","83",""
"1257","5","37","65","83",""
"1258","5","37","65","83",""
"1259","5","37","65","83",""
"1260","5","37","65","83",""
"1262","5","37","65","83",""
"1263","5","37","65","83",""
"1264","5","37","65","83",""
"1266","5","37","65","83",""
"1267","5","37","65","83",""
"1270","5","37","65","83",""
"1301","6","41","70","86",""
"1302","6","41","70","86",""
"1330","6","41","70","86",""
"1331","6","41","70","86",""
"1337","6","41","70","86",""
"1338","6","41","70","86",""
"1339","6","41","70","86",""
"1340","6","41","70","86",""
"1341","6","41","70","86",""
"1342","6","41","70","86",""
"1343","6","41","70","86",""
"1344","6","41","70","86",""
"1346","6","41","70","86",""
"1347","6","41","70","86",""
"1349","6","41","70","86",""
"1350","6","41","70","86",""
"1351","6","41","70","86",""
"1354","6","41","70","86",""
"1355","6","41","70","86",""
"1360","6","41","70","86",""
"1364","6","41","70","86",""
"1366","6","41","70","86",""
"1367","6","41","70","86",""
"1368","6","41","70","86",""
"1369","6","41","70","86",""
"1370","5","37","65","83",""
"1373","5","37","65","83",""
"1375","5","37","65","83",""
"1376","5","37","65","83",""
"1378","5","37","65","83",""
"1379","5","37","65","83",""
"1380","5","37","65","83",""
"1420","5","37","65","83",""
"1430","5","37","65","83",""
"1431","5","37","65","83",""
"1432","5","37","65","83",""
"1433","5","37","65","83",""
"1434","5","37","65","83",""
"1436","5","37","65","83",""
"1438","5","37","65","83",""
"1440","5","37","65","83",""
"1441","5","37","65","83",""
"1450","5","37","65","83",""
"1451","5","37","65","83",""
"1452","5","37","65","83",""
"1453","5","37","65","83",""
"1460","5","37","65","83",""
"1462","5","37","65","83",""
"1463","5","37","65","83",""
"1464","5","37","65","83",""
"1466","5","37","65","83",""
"1467","5","37","65","83",""
"1468","5","37","65","83",""
"1469","5","37","65","83",""
"1470","5","37","65","83",""
"1471","5","37","65","83",""
"1472","5","37","65","83",""
"1473","5","37","65","83",""
"1474","5","37","65","83",""
"1475","5","37","65","83",""
"1477","5","37","65","83",""
"1501","5","37","65","83",""
"1503","5","37","65","83",""
"1504","5","37","65","83",""
"1505","5","37","65","83",""
"1506","5","37","65","83",""
"1507","5","37","65","83",""
"1508","5","37","65","83",""
