Zipcode,ZoneName,Small,Medium,Large,ShippingClass,,,ZipZoneID,ZipCode,ZoneID,ShippingClass,ZoneName
210,5,37,65,83,No Shipping Class Assigned,,,,,,,
211,5,37,65,83,No Shipping Class Assigned,,,,,,,
212,5,37,65,83,No Shipping Class Assigned,,,,,,,
213,5,37,65,83,No Shipping Class Assigned,,,,,,,
214,5,37,65,83,No Shipping Class Assigned,,,,,,,
215,5,37,65,83,No Shipping Class Assigned,,,,,,,
401,5,37,65,83,No Shipping Class Assigned,,,,,,,
501,6,41,70,86,No Shipping Class Assigned,,,,,,,
544,6,41,70,86,No Shipping Class Assigned,,,,,,,
1001,5,37,65,83,No Shipping Class Assigned,,,,,,,
1002,5,37,65,83,No Shipping Class Assigned,,,,,,,
1003,5,37,65,83,No Shipping Class Assigned,,,,,,,
1004,5,37,65,83,No Shipping Class Assigned,,,,,,,
1005,5,37,65,83,No Shipping Class Assigned,,,,,,,
1007,5,37,65,83,No Shipping Class Assigned,,,,,,,
1008,5,37,65,83,No Shipping Class Assigned,,,,,,,
1009,5,37,65,83,No Shipping Class Assigned,,,,,,,
1010,5,37,65,83,No Shipping Class Assigned,,,,,,,
1011,5,37,65,83,No Shipping Class Assigned,,,,,,,
1012,5,37,65,83,No Shipping Class Assigned,,,,,,,``
1013,5,37,65,83,No Shipping Class Assigned,,,,,,,
1014,5,37,65,83,No Shipping Class Assigned,,,,,,,
1020,5,37,65,83,No Shipping Class Assigned,,,,,,,
1021,5,37,65,83,No Shipping Class Assigned,,,,,,,
1022,5,37,65,83,No Shipping Class Assigned,,,,,,,
1026,5,37,65,83,No Shipping Class Assigned,,,,,,,
1027,5,37,65,83,No Shipping Class Assigned,,,,,,,
1028,5,37,65,83,No Shipping Class Assigned,,,,,,,
1029,5,37,65,83,No Shipping Class Assigned,,,,,,,
1030,5,37,65,83,No Shipping Class Assigned,,,,,,,
1031,5,37,65,83,No Shipping Class Assigned,,,,,,,
1032,5,37,65,83,No Shipping Class Assigned,,,,,,,
1033,5,37,65,83,No Shipping Class Assigned,,,,,,,
1034,5,37,65,83,No Shipping Class Assigned,,,,,,,
1035,5,37,65,83,No Shipping Class Assigned,,,,,,,
1036,5,37,65,83,No Shipping Class Assigned,,,,,,,
1037,5,37,65,83,No Shipping Class Assigned,,,,,,,
1038,5,37,65,83,No Shipping Class Assigned,,,,,,,
1039,5,37,65,83,No Shipping Class Assigned,,,,,,,
1040,5,37,65,83,No Shipping Class Assigned,,,,,,,
1041,5,37,65,83,No Shipping Class Assigned,,,,,,,
1050,5,37,65,83,No Shipping Class Assigned,,,,,,,
1053,5,37,65,83,No Shipping Class Assigned,,,,,,,
1054,5,37,65,83,No Shipping Class Assigned,,,,,,,
1056,5,37,65,83,No Shipping Class Assigned,,,,,,,
1057,5,37,65,83,No Shipping Class Assigned,,,,,,,
1059,5,37,65,83,No Shipping Class Assigned,,,,,,,
1060,5,37,65,83,No Shipping Class Assigned,,,,,,,
1061,5,37,65,83,No Shipping Class Assigned,,,,,,,
1062,5,37,65,83,No Shipping Class Assigned,,,,,,,
1063,5,37,65,83,No Shipping Class Assigned,,,,,,,
1066,5,37,65,83,No Shipping Class Assigned,,,,,,,
1068,5,37,65,83,No Shipping Class Assigned,,,,,,,
1069,5,37,65,83,No Shipping Class Assigned,,,,,,,
1070,5,37,65,83,No Shipping Class Assigned,,,,,,,
1071,5,37,65,83,No Shipping Class Assigned,,,,,,,
1072,5,37,65,83,No Shipping Class Assigned,,,,,,,
1073,5,37,65,83,No Shipping Class Assigned,,,,,,,
1074,5,37,65,83,No Shipping Class Assigned,,,,,,,
1075,5,37,65,83,No Shipping Class Assigned,,,,,,,
1077,5,37,65,83,No Shipping Class Assigned,,,,,,,
1079,5,37,65,83,No Shipping Class Assigned,,,,,,,
1080,5,37,65,83,No Shipping Class Assigned,,,,,,,
1081,5,37,65,83,No Shipping Class Assigned,,,,,,,
1082,5,37,65,83,No Shipping Class Assigned,,,,,,,
1083,5,37,65,83,No Shipping Class Assigned,,,,,,,
1084,5,37,65,83,No Shipping Class Assigned,,,,,,,
1085,5,37,65,83,No Shipping Class Assigned,,,,,,,
1086,5,37,65,83,No Shipping Class Assigned,,,,,,,
1088,5,37,65,83,No Shipping Class Assigned,,,,,,,
1089,5,37,65,83,No Shipping Class Assigned,,,,,,,
1090,5,37,65,83,No Shipping Class Assigned,,,,,,,
1092,5,37,65,83,No Shipping Class Assigned,,,,,,,
1093,5,37,65,83,No Shipping Class Assigned,,,,,,,
1094,5,37,65,83,No Shipping Class Assigned,,,,,,,
1095,5,37,65,83,No Shipping Class Assigned,,,,,,,
1096,5,37,65,83,No Shipping Class Assigned,,,,,,,
1097,5,37,65,83,No Shipping Class Assigned,,,,,,,
1098,5,37,65,83,No Shipping Class Assigned,,,,,,,
1101,5,37,65,83,No Shipping Class Assigned,,,,,,,
1102,5,37,65,83,No Shipping Class Assigned,,,,,,,
1103,5,37,65,83,No Shipping Class Assigned,,,,,,,
1104,5,37,65,83,No Shipping Class Assigned,,,,,,,
1105,5,37,65,83,No Shipping Class Assigned,,,,,,,
1106,5,37,65,83,No Shipping Class Assigned,,,,,,,
1107,5,37,65,83,No Shipping Class Assigned,,,,,,,
1108,5,37,65,83,No Shipping Class Assigned,,,,,,,
1109,5,37,65,83,No Shipping Class Assigned,,,,,,,
1111,5,37,65,83,No Shipping Class Assigned,,,,,,,
1114,5,37,65,83,No Shipping Class Assigned,,,,,,,
1115,5,37,65,83,No Shipping Class Assigned,,,,,,,
1116,5,37,65,83,No Shipping Class Assigned,,,,,,,
1118,5,37,65,83,No Shipping Class Assigned,,,,,,,
1119,5,37,65,83,No Shipping Class Assigned,,,,,,,
1128,5,37,65,83,No Shipping Class Assigned,,,,,,,
1129,5,37,65,83,No Shipping Class Assigned,,,,,,,
1133,5,37,65,83,No Shipping Class Assigned,,,,,,,
1138,5,37,65,83,No Shipping Class Assigned,,,,,,,
1139,5,37,65,83,No Shipping Class Assigned,,,,,,,
1144,5,37,65,83,No Shipping Class Assigned,,,,,,,
1151,5,37,65,83,No Shipping Class Assigned,,,,,,,
1152,5,37,65,83,No Shipping Class Assigned,,,,,,,
1195,5,37,65,83,No Shipping Class Assigned,,,,,,,
1199,5,37,65,83,No Shipping Class Assigned,,,,,,,
1201,6,41,70,86,No Shipping Class Assigned,,,,,,,
1202,6,41,70,86,No Shipping Class Assigned,,,,,,,
1203,6,41,70,86,No Shipping Class Assigned,,,,,,,
1220,6,41,70,86,No Shipping Class Assigned,,,,,,,
1222,6,41,70,86,No Shipping Class Assigned,,,,,,,
1223,6,41,70,86,No Shipping Class Assigned,,,,,,,
1224,6,41,70,86,No Shipping Class Assigned,,,,,,,
1225,6,41,70,86,No Shipping Class Assigned,,,,,,,
1226,6,41,70,86,No Shipping Class Assigned,,,,,,,
1227,6,41,70,86,No Shipping Class Assigned,,,,,,,
1229,6,41,70,86,No Shipping Class Assigned,,,,,,,
1230,6,41,70,86,No Shipping Class Assigned,,,,,,,
1235,6,41,70,86,No Shipping Class Assigned,,,,,,,
1236,6,41,70,86,No Shipping Class Assigned,,,,,,,
1237,6,41,70,86,No Shipping Class Assigned,,,,,,,
