ZipCode,ZoneName,Small,Medium,Large,ShippingClass
210,5,37,65,83,Fed Ex Overnight
211,5,37,65,83,Fed Ex Overnight
212,5,37,65,83,Fed Ex Overnight
213,0,5,10,20,Fed Ex Overnight
214,5,37,65,83,Fed Ex Overnight
215,5,37,65,83,Fed Ex Overnight
401,5,37,65,83,Fed Ex Overnight
501,6,41,70,86,Fed Ex Overnight
544,6,41,70,86,Fed Ex Overnight
1001,5,37,65,83,Fed Ex Overnight
1002,5,37,65,83,Fed Ex Overnight
1003,5,37,65,83,Fed Ex Overnight
1004,5,37,65,83,Fed Ex Overnight
1005,5,37,65,83,Fed Ex Overnight
1007,5,37,65,83,Fed Ex Overnight
1008,5,37,65,83,Fed Ex Overnight
1009,5,37,65,83,Fed Ex Overnight
1010,5,37,65,83,Fed Ex Overnight
1011,5,37,65,83,Fed Ex Overnight
1012,5,37,65,83,Fed Ex Overnight
1013,5,37,65,83,Fed Ex Overnight
1014,5,37,65,83,Fed Ex Overnight
1020,5,37,65,83,Fed Ex Overnight
1021,5,37,65,83,Fed Ex Overnight
1022,5,37,65,83,Fed Ex Overnight
1026,5,37,65,83,Fed Ex Overnight
1027,5,37,65,83,Fed Ex Overnight
1028,5,37,65,83,Fed Ex Overnight
1029,5,37,65,83,Fed Ex Overnight
1030,5,37,65,83,Fed Ex Overnight
1031,5,37,65,83,Fed Ex Overnight
1032,5,37,65,83,Fed Ex Overnight
1033,5,37,65,83,Fed Ex Overnight
1034,5,37,65,83,Fed Ex Overnight
1035,5,37,65,83,Fed Ex Overnight
1036,5,37,65,83,Fed Ex Overnight
1037,5,37,65,83,Fed Ex Overnight
1038,5,37,65,83,Fed Ex Overnight
1039,5,37,65,83,Fed Ex Overnight
1040,5,37,65,83,Fed Ex Overnight
1041,5,37,65,83,Fed Ex Overnight
1050,5,37,65,83,Fed Ex Overnight
1053,5,37,65,83,Fed Ex Overnight
1054,5,37,65,83,Fed Ex Overnight
1056,5,37,65,83,Fed Ex Overnight
1057,5,37,65,83,Fed Ex Overnight
1059,5,37,65,83,Fed Ex Overnight
1060,5,37,65,83,Fed Ex Overnight
1061,5,37,65,83,Fed Ex Overnight
1062,5,37,65,83,Fed Ex Overnight
1063,5,37,65,83,Fed Ex Overnight
1066,5,37,65,83,Fed Ex Overnight
1068,5,37,65,83,Fed Ex Overnight
1069,5,37,65,83,Fed Ex Overnight
1070,5,37,65,83,Fed Ex Overnight
1071,5,37,65,83,Fed Ex Overnight
1072,5,37,65,83,Fed Ex Overnight
1073,5,37,65,83,Fed Ex Overnight
1074,5,37,65,83,Fed Ex Overnight
1075,5,37,65,83,Fed Ex Overnight
1077,5,37,65,83,Fed Ex Overnight
1079,5,37,65,83,Fed Ex Overnight
1080,5,37,65,83,Fed Ex Overnight
1081,5,37,65,83,Fed Ex Overnight
1082,5,37,65,83,Fed Ex Overnight
1083,5,37,65,83,Fed Ex Overnight
1084,5,37,65,83,Fed Ex Overnight
1085,5,37,65,83,Fed Ex Overnight
1086,5,37,65,83,Fed Ex Overnight
1088,5,37,65,83,Fed Ex Overnight
1089,5,37,65,83,Fed Ex Overnight
1090,5,37,65,83,Fed Ex Overnight
1092,5,37,65,83,Fed Ex Overnight
1093,5,37,65,83,Fed Ex Overnight
1094,5,37,65,83,Fed Ex Overnight
1095,5,37,65,83,Fed Ex Overnight
1096,5,37,65,83,Fed Ex Overnight
1097,5,37,65,83,Fed Ex Overnight
1098,5,37,65,83,Fed Ex Overnight
1101,5,37,65,83,Fed Ex Overnight
1102,5,37,65,83,Fed Ex Overnight
1103,5,37,65,83,Fed Ex Overnight
1104,5,37,65,83,Fed Ex Overnight
1105,5,37,65,83,Fed Ex Overnight
1106,5,37,65,83,Fed Ex Overnight
1107,5,37,65,83,Fed Ex Overnight
1108,5,37,65,83,Fed Ex Overnight
1109,5,37,65,83,Fed Ex Overnight
1111,5,37,65,83,Fed Ex Overnight
1114,5,37,65,83,Fed Ex Overnight
1115,5,37,65,83,Fed Ex Overnight
1116,5,37,65,83,Fed Ex Overnight
1118,5,37,65,83,Fed Ex Overnight
1119,5,37,65,83,Fed Ex Overnight
1128,5,37,65,83,Fed Ex Overnight
1129,5,37,65,83,Fed Ex Overnight
1133,5,37,65,83,Fed Ex Overnight
1138,5,37,65,83,Fed Ex Overnight
1139,5,37,65,83,Fed Ex Overnight
1144,5,37,65,83,Fed Ex Overnight
1151,5,37,65,83,Fed Ex Overnight
1152,5,37,65,83,Fed Ex Overnight
1195,5,37,65,83,Fed Ex Overnight
1199,5,37,65,83,Fed Ex Overnight
1201,6,41,70,86,Fed Ex Overnight
1202,6,41,70,86,Fed Ex Overnight
1203,6,41,70,86,Fed Ex Overnight
1220,6,41,70,86,Fed Ex Overnight
1222,6,41,70,86,Fed Ex Overnight
1223,6,41,70,86,Fed Ex Overnight
